Id,Name,OrderIndex,IsDeleted,UpdatedDateTime,CreatedDateTime
7,O,1,0,2012-07-16 19:42:45.54,2010-08-15 14:44:54.947
8,把,2,0,2010-08-15 14:45:54.423,2010-08-15 14:45:54.423
9,包,3,0,2010-08-15 14:46:12.933,2010-08-15 14:46:12.933
10,本,4,0,2010-08-15 14:46:25.78,2010-08-15 14:46:25.78
11,部,5,1,2010-08-17 16:44:14.0,2010-08-15 14:46:39.073
12,次,6,0,2010-08-15 14:46:54.923,2010-08-15 14:46:54.923
13,顶,7,1,2010-08-17 16:49:36.0,2010-08-15 14:47:07.813
14,幅,8,0,2010-08-15 14:47:21.74,2010-08-15 14:47:21.74
15,副,9,1,2010-08-15 14:52:43.0,2010-08-15 14:47:38.923
16,个,10,0,2010-08-15 14:47:53.033,2010-08-15 14:47:53.033
17,KG,11,0,2012-07-17 00:24:13.92,2010-08-15 14:48:09.423
18,盒,12,0,2010-08-15 14:48:22.867,2010-08-15 14:48:22.867
19,件,13,0,2010-08-15 14:48:34.813,2010-08-15 14:48:34.813
20,卷,14,0,2010-08-15 14:48:59.423,2010-08-15 14:48:59.423
21,块,15,0,2010-08-15 14:49:12.64,2010-08-15 14:49:12.64
22,辆,16,1,2010-08-17 16:49:42.0,2010-08-15 14:49:24.433
23,米,17,0,2010-08-15 14:49:35.697,2010-08-15 14:49:35.697
24,片,18,0,2010-08-15 14:49:46.867,2010-08-15 14:49:46.867
25,瓶,19,0,2010-08-15 14:49:57.863,2010-08-15 14:49:57.863
26,扇,20,0,2010-08-15 14:50:11.93,2010-08-15 14:50:11.93
27,升,21,0,2010-08-15 14:50:24.297,2010-08-15 14:50:24.297
28,双,9,0,2010-08-15 14:53:16.42,2010-08-15 14:53:16.42
29,台,22,0,2010-08-15 14:54:35.427,2010-08-15 14:54:35.427
30,套,23,0,2010-08-15 14:54:47.047,2010-08-15 14:54:47.047
31,条,24,0,2010-08-15 14:54:59.617,2010-08-15 14:54:59.617
32,桶,25,0,2010-08-15 14:55:14.073,2010-08-15 14:55:14.073
33,箱,26,0,2010-08-15 14:55:24.713,2010-08-15 14:55:24.713
34,扎,27,1,2010-08-17 16:52:33.0,2010-08-15 14:55:41.923
35,盏,28,1,2010-08-17 16:51:35.0,2010-08-15 14:55:53.957
36,张,29,0,2010-08-15 14:56:08.397,2010-08-15 14:56:08.397
37,支,30,0,2010-08-15 14:56:20.113,2010-08-15 14:56:20.113
38,只,31,0,2010-08-15 14:56:31.69,2010-08-15 14:56:31.69
39,组,32,0,2010-08-15 14:56:45.37,2010-08-15 14:56:45.37
40,副,33,0,2010-08-25 16:04:21.043,2010-08-25 16:04:21.043
41,粒,1,0,2010-10-15 17:15:16.503,2010-10-15 17:15:16.503
42,份,34,0,2011-03-09 09:20:06.163,2011-03-09 09:20:06.163
43,对,35,0,2011-03-30 10:50:20.157,2011-03-30 10:50:20.157
44,毫米,36,0,2012-06-30 15:53:00.933,2011-04-07 16:47:31.997
45,批,37,0,2011-04-16 15:22:10.273,2011-04-16 15:22:10.273
46,付,38,0,2012-05-15 08:19:55.63,2012-05-15 08:19:55.63
47,根,39,0,2012-05-21 17:46:33.597,2012-05-21 17:46:33.597
48,盏,40,0,2012-08-23 09:50:40.813,2012-08-23 09:44:35.143
49,元/包,41,0,2015-01-30 21:15:12.51,2015-01-30 21:15:12.51
50,元/个,42,0,2015-01-30 21:15:12.52,2015-01-30 21:15:12.52
51,元/块,43,0,2015-01-30 21:15:12.523,2015-01-30 21:15:12.523
52,元/米,44,0,2015-01-30 21:15:12.537,2015-01-30 21:15:12.537
53,元/平米,45,0,2015-01-30 21:15:12.55,2015-01-30 21:15:12.55
54,元/扇,46,0,2015-01-30 21:15:12.553,2015-01-30 21:15:12.553
55,元/台,47,0,2015-01-30 21:15:12.553,2015-01-30 21:15:12.553
56,元/套,48,0,2015-01-30 21:15:12.553,2015-01-30 21:15:12.553
57,平方米,49,0,2015-10-15 14:30:59.2,2015-10-15 14:30:59.2
58,Ea,50,0,2016-05-19 20:34:43.79,2016-05-19 20:34:43.79
